id,title,score,scored_by,rank,popularity,members,favorites,genres
47,Rozen Maiden: Träumend,7.61,61147,1600,2186,110274,485,"Action, Drama, Supernatural"
48,Azumanga Daiou The Animation,8.07,178653,590,632,413684,9062,Comedy
49,Basilisk: Kouga Ninpou Chou,7.53,81237,1924,1353,200794,1457,"Action, Drama, Romance"
50,Black Cat,7.31,132775,2880,971,280714,1841,"Action, Adventure, Sci-Fi"
51,Cluster Edge,6.3,3439,8536,6606,11797,15,"Action, Fantasy, Sci-Fi"
52,Full Metal Panic!,7.59,249509,1689,474,522714,4453,Comedy
53,Full Metal Panic? Fumoffu,8.01,180337,686,894,308444,3007,"Action, Comedy"
54,Full Metal Panic! The Second Raid,7.91,152645,842,1008,270906,1300,
55,Gakuen Alice,7.64,53703,1543,2247,105667,1509,Comedy
56,Soukyuu no Fafner: Dead Aggressor,7.25,16050,3216,3421,52154,275,"Drama, Sci-Fi"
57,Mahou Shoujo Lyrical Nanoha,7.41,43867,2410,2191,109508,1081,"Action, Comedy, Drama"
58,Mahou Shoujo Lyrical Nanoha A's,7.95,35273,772,2932,68832,1013,"Action, Comedy, Drama"
59,Shuffle!,7,138802,4555,932,290176,1480,"Comedy, Fantasy, Romance, Ecchi"
60,Kidou Senshi Gundam,7.77,66984,1162,1745,148173,2591,"Drama, Sci-Fi"
61,Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,50753,710,2452,92426,1196,"Adventure, Drama, Romance, Sci-Fi"
62,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8,37857,706,2940,68536,1186,"Drama, Sci-Fi"
63,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.74,7246,5829,6022,14767,5,"Drama, Romance, Sci-Fi"
64,Kidou Senshi Gundam 0083: Stardust Memory,7.21,28477,3409,3470,50696,274,"Drama, Romance, Sci-Fi"
65,Kidou Senshi Zeta Gundam,7.89,43914,888,2573,85563,2606,"Drama, Romance, Sci-Fi"
66,Kidou Senshi Gundam ZZ,6.68,25130,6250,3504,49810,202,"Comedy, Drama, Sci-Fi"
67,Kidou Senshi Gundam: Gyakushuu no Char,7.69,34118,1378,3235,57362,585,"Drama, Sci-Fi"
68,Kidou Senshi Gundam F91,6.59,20038,6803,4106,36946,88,"Drama, Sci-Fi"
69,Kidou Senshi Victory Gundam,6.71,12652,6050,4424,31503,157,"Drama, Sci-Fi"
70,Shin Kidou Senki Gundam Wing,7.66,93886,1465,1581,169382,2448,"Drama, Sci-Fi"
71,Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,28944,1272,3454,51040,180,"Award Winning, Drama, Sci-Fi"
72,Kidou Shinseiki Gundam X,7.34,17516,2714,3966,39788,237,"Adventure, Drama, Sci-Fi"
73,Kidou Senshi Gundam SEED,7.73,101102,1277,1467,182828,3710,"Award Winning, Drama, Romance, Sci-Fi"
74,Kidou Senshi Gundam SEED Destiny,7.17,69034,3653,2123,115711,1152,"Drama, Romance, Sci-Fi"
75,Turn A Gundam,7.8,19221,1081,3330,54442,1206,"Adventure, Award Winning, Drama, Romance, Sci-Fi"
76,Kidou Butouden G Gundam,7.58,39762,1739,2797,74507,1104,"Drama, Romance, Sci-Fi"
77,Last Exile,7.78,73525,1139,1456,184998,1927,"Action, Adventure, Sci-Fi"
78,Mai-HiME,7.39,53317,2497,2051,120871,1148,"Action, Girls Love"
79,Mai-Otome,7.27,26179,3077,3358,53759,312,"Comedy, Drama, Fantasy"
80,Shin Shirayuki-hime Densetsu Prétear,7.15,30157,3763,2949,68169,462,"Drama, Romance"
81,Air,7.27,158117,3068,889,309968,2711,"Drama, Romance, Supernatural"
82,Aishiteruze Baby★★,7.43,55068,2313,2227,106878,563,"Comedy, Drama, Romance"
83,Akazukin Chacha,7.41,6232,2392,5635,17627,103,"Adventure, Comedy, Romance"
84,Ayashi no Ceres,7.17,28454,3640,3004,65761,498,"Adventure, Drama, Horror, Romance, Supernatural"
85,Boys Be...,6.38,9963,8070,4882,25293,47,"Comedy, Romance"
86,Hana yori Dango,7.56,26812,1791,2991,66329,832,"Drama, Romance"
87,Ou Dorobou Jing,7.17,15168,3668,3965,39820,212,"Adventure, Comedy, Fantasy, Sci-Fi"
88,Ou Dorobou Jing in Seventh Heaven,7.23,5697,3351,6228,13591,27,"Adventure, Comedy, Fantasy"
89,Bakuretsu Tenshi,6.77,32341,5682,2778,75277,241,"Adventure, Sci-Fi"
90,Chuuka Ichiban!,7.59,8762,1683,5222,21514,123,"Action, Comedy, Drama, Gourmet"
91,Corrector Yui,6.86,7764,5199,5494,18924,66,"Adventure, Comedy, Sci-Fi"
92,Chou Henshin Cosprayers,4.82,3685,14021,7152,9771,4,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi"
93,Uchuu no Stellvia,7.32,10230,2814,4777,26719,129,"Romance, Sci-Fi"
94,Sakigake!! Cromartie Koukou,7.88,57581,910,1703,152034,1747,Comedy
95,Ijigen no Sekai El-Hazard,6.76,5538,5740,6318,13093,10,"Adventure, Comedy, Fantasy"
96,Shinpi no Sekai El-Hazard (TV),6.93,7809,4854,5398,19875,41,"Adventure, Comedy, Fantasy, Romance"
97,Shinpi no Sekai El-Hazard,7.24,8677,3262,5158,22190,109,"Adventure, Comedy, Fantasy, Romance"
98,Shinpi no Sekai El-Hazard Season 2,6.76,4876,5742,6992,10355,6,"Adventure, Comedy, Fantasy"
99,Final Approach,6.49,18282,7418,4094,37159,50,"Comedy, Drama, Romance"
100,Fruits Basket,7.69,292568,1396,435,562349,9903,"Drama, Romance, Supernatural"
101,Fullmetal Alchemist,8.11,924162,540,86,1540117,26689,"Action, Adventure, Award Winning, Drama, Fantasy"
102,Full Moon wo Sagashite,7.93,49765,803,2114,116675,1897,"Comedy, Drama, Romance, Supernatural"
103,Fushigi Yuugi,7.6,54061,1671,1967,127390,2149,"Action, Adventure, Fantasy, Romance"
104,Fushigi Yuugi: Eikouden,6.78,9490,5640,5475,19119,38,"Adventure, Drama, Fantasy, Romance"
105,Futakoi,6.41,16743,7926,4090,37229,26,"Comedy, Romance"
106,Futakoi Alternative,6.83,12438,5398,4329,33243,86,"Comedy, Drama, Romance"
107,Gate Keepers,6.9,9974,4992,4983,23981,62,"Comedy, Fantasy, Sci-Fi"
108,Gate Keepers 21,6.73,4979,5934,6686,11500,21,"Drama, Sci-Fi"
109,Gensoumaden Saiyuuki,7.54,22136,1902,3192,58508,799,"Action, Adventure, Drama, Fantasy"
110,Saiyuuki Reload,7.36,14163,2625,4061,37930,122,"Action, Adventure, Comedy, Drama, Supernatural"
111,Saiyuuki Reload Gunlock,7.37,9019,2565,4894,25164,49,"Action, Adventure, Comedy, Drama, Supernatural"
112,GetBackers,7.56,55327,1803,1962,127672,910,"Action, Mystery, Supernatural"
113,Green Green,6.12,67754,9618,2041,121479,233,"Comedy, Romance, Ecchi"
114,Gunslinger Girl,7.38,80743,2540,1351,201056,1233,"Action, Drama, Sci-Fi, Suspense"
115,Hikaru no Go,8.07,66169,595,1746,148166,2536,"Comedy, Drama, Supernatural"
116,Hunter x Hunter,8.43,309486,193,381,636954,11987,"Action, Adventure, Fantasy"
117,Hunter x Hunter: Original Video Animation,8.31,69897,292,1885,135628,440,"Action, Adventure, Fantasy"
118,Hunter x Hunter: Greed Island,8.18,91369,442,1497,180034,321,"Action, Adventure, Fantasy"
119,Hunter x Hunter: Greed Island Final,8.25,82920,356,1683,155192,260,"Action, Adventure, Fantasy"
120,Jinki:Extend,6.04,4842,10059,6306,13155,11,Sci-Fi
121,Kamikaze Kaitou Jeanne,7.47,29832,2163,3140,60541,554,"Action, Drama, Romance, Supernatural"
122,Kannazuki no Miko,6.8,31784,5535,2767,75808,723,"Drama, Girls Love, Supernatural"
123,Kanon,7.05,28455,4290,2903,69981,227,"Drama, Romance, Supernatural"
124,Kareshi Kanojo no Jijou,7.59,85566,1696,1095,249820,2864,"Comedy, Drama, Romance"
125,Kono Minikuku mo Utsukushii Sekai,6.69,29637,6162,3041,64140,163,"Comedy, Drama, Romance, Sci-Fi, Ecchi"
126,Kimi ga Nozomu Eien,7.16,70716,3698,1743,148486,1095,"Drama, Romance"
127,Kita e.: Diamond Dust Drops,6.55,3152,7012,6956,10448,11,"Drama, Romance"
128,Loveless,6.7,72215,6100,1766,145998,1296,"Boys Love, Drama, Mystery, Supernatural"
129,Blood+,7.6,164274,1666,670,394011,4495,"Action, Drama, Horror, Mystery, Supernatural"
130,Re: Cutie Honey,7.14,12558,3848,4318,33543,209,"Action, Comedy, Girls Love, Sci-Fi, Ecchi"
131,Solty Rei,7.24,13476,3264,4364,32597,142,"Action, Sci-Fi"
132,Juuni Kokuki,8.01,48838,687,1582,169311,2629,"Action, Adventure, Fantasy"
133,Shaman King,7.73,201876,1271,696,381281,3738,"Action, Adventure, Supernatural"
134,X/1999,6.56,19799,6950,3813,43074,143,"Action, Drama, Fantasy, Mystery"
135,X,7.38,36656,2560,2521,88454,779,"Action, Drama, Fantasy, Mystery"
136,Mahou Sensei Negima!,6.92,66085,4875,1754,147276,507,"Action, Comedy, Fantasy, Romance, Ecchi"
137,Maria-sama ga Miteru,7.27,23125,3076,2772,75743,726,"Drama, Girls Love"
138,Boukyaku no Senritsu,6.25,6558,8881,5347,20327,42,"Adventure, Fantasy, Horror, Sci-Fi"
139,"Ima, Soko ni Iru Boku",7.57,45336,1747,1662,157622,1257,"Adventure, Drama, Fantasy, Sci-Fi"
140,Peace Maker Kurogane,7.28,24187,3027,3137,60646,279,"Action, Comedy"
141,Pita Ten,6.92,11250,4926,4854,25649,92,"Comedy, Fantasy, Romance"
142,Power Stone,6.46,4324,7578,7333,9177,20,"Adventure, Comedy, Fantasy"
143,Mononoke Hime,8.67,873197,77,106,1355954,23834,"Action, Adventure, Award Winning, Fantasy"
144,RahXephon,7.37,44922,2605,1973,127062,1018,"Award Winning, Drama, Mystery, Romance, Sci-Fi, Suspense"
145,Samurai 7,7.43,64842,2308,1857,137403,723,Sci-Fi
146,Scrapped Princess,7.36,39569,2625,2291,102388,439,"Adventure, Drama, Fantasy, Sci-Fi"
147,s.CRY.ed,7.35,39917,2659,2540,87216,689,"Action, Adventure, Drama, Sci-Fi"
148,Shingetsutan Tsukihime,6.78,74261,5646,1508,178218,701,"Action, Horror, Mystery, Romance, Supernatural"
149,Slam Dunk,8.55,148874,126,812,331637,7979,Sports
150,Strange Dawn,6.24,2163,8939,8088,7158,10,"Adventure, Drama, Fantasy"
151,Tactics,7.18,14761,3611,3819,43000,171,"Mystery, Supernatural"
152,Tenjou Tenge,6.86,93387,5188,1366,198527,629,"Action, Drama, Supernatural, Ecchi"
153,Tokyo Underground,6.58,12273,6872,4426,31501,51,"Action, Adventure, Romance, Sci-Fi"
154,Triangle Heart: Sweet Songs Forever,6.09,3094,9770,7799,7816,7,"Adventure, Romance"
155,Tsubasa Chronicle,7.51,99449,2013,1153,238771,2063,"Action, Adventure, Drama, Fantasy, Romance"
156,Ultra Maniac,7.15,14616,3767,4159,36072,150,"Comedy, Fantasy, Romance"
157,Ultra Maniac OVA,6.61,2526,6670,8691,6019,3,"Comedy, Fantasy, Romance"
158,Vandread,7.15,45251,3772,2510,89289,444,"Sci-Fi, Ecchi"
159,Vandread: The Second Stage,7.37,32930,2580,3245,56869,123,"Sci-Fi, Ecchi"
160,Tenkuu no Escaflowne,7.65,69450,1507,1545,174038,2269,"Adventure, Fantasy, Romance"
161,Whistle!,7.35,7402,2704,5877,15767,80,Sports
162,Xenosaga The Animation,6.32,8981,8406,5162,22161,48,Sci-Fi
163,Initial D First Stage,8.36,213264,242,607,428824,13658,"Action, Drama"
164,Initial D Second Stage,8.19,149249,430,1061,257219,1193,"Action, Drama"
165,Initial D Third Stage,7.91,124560,847,1340,202601,717,"Action, Drama"
166,Gosenzo Sane,6.14,1123,,10346,3633,11,"Comedy, Mystery, Supernatural, Hentai"
167,Love Hina,7.09,139644,4098,979,278510,1527,"Comedy, Romance, Ecchi"
168,Love Hina Again,7.2,53027,3511,2522,88407,87,"Comedy, Romance, Ecchi"
169,Love Hina Christmas Special: Silent Eve,7.3,36768,2934,3150,60190,48,"Comedy, Romance"
170,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.17,32714,3659,3316,54873,22,"Adventure, Comedy, Romance"
171,Maburaho,6.72,49884,5997,2308,101543,237,"Comedy, Drama, Romance, Ecchi"
172,Macross Zero,7.47,20699,2169,3848,42385,127,"Adventure, Sci-Fi"
173,Onegai☆Teacher,7.08,98559,4178,1445,186675,1006,"Drama, Romance, Sci-Fi"
174,Onegai☆Twins,6.8,51300,5548,2417,93912,189,"Comedy, Drama, Sci-Fi"
175,Rizelmine,6.49,11203,7391,4757,27025,53,"Comedy, Romance, Sci-Fi, Ecchi"
176,Speed Grapher,7.29,43077,2994,2018,123378,636,"Action, Mystery, Suspense"
177,Sen to Chihiro no Kamikakushi,8.77,1389704,42,44,1992964,34738,"Adventure, Award Winning, Fantasy"
178,Tenshi na Konamaiki,7.41,10583,2429,4516,30369,154,"Comedy, Romance"
179,Video Girl Ai,7.19,14325,3540,4304,33741,150,"Comedy, Drama, Romance, Ecchi"
180,Wolf's Rain,7.79,137561,1111,767,348589,5913,"Action, Adventure, Drama, Fantasy, Mystery"
181,Words Worth,6.72,3770,,7230,9498,38,"Adventure, Fantasy, Hentai"
182,Yumeria,6.05,13331,10013,4557,29767,34,"Action, Comedy, Ecchi"
183,Samurai Champloo,8.52,676471,144,109,1328280,40499,"Action, Adventure, Comedy"
184,Lodoss-tou Senki: Eiyuu Kishi Den,7.11,12685,4006,4013,38845,145,"Action, Adventure, Drama, Fantasy, Romance"
185,Lodoss-tou Senki,7.31,29656,2862,2470,91539,792,"Action, Adventure, Fantasy"
186,R.O.D: Read or Die,7.6,35614,1658,2797,74496,365,"Action, Adventure, Mystery, Sci-Fi"
187,R.O.D: The TV,7.52,30201,1965,2824,73621,445,"Action, Adventure, Comedy, Drama, Sci-Fi"
188,Ranma ½,7.77,130012,1171,975,279626,4637,"Action, Comedy, Romance, Ecchi"
189,Pure Mail,6.18,1560,,9929,4143,11,Hentai
190,Project A-Ko,6.85,10030,5249,4940,24668,158,"Adventure, Comedy, Sci-Fi"
191,Pia Carrot e Youkoso!!,5.96,1693,,9736,4404,3,"Comedy, Hentai"
192,Pia Carrot e Youkoso!! 2,6.1,1305,,10852,3143,3,"Comedy, Hentai"
193,Pia Carrot e Youkoso!! 2 DX,6.18,1401,9290,10627,3351,2,"Comedy, Romance"
194,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.81,1524,11323,10395,3573,1,"Comedy, Romance"
195,Shin Angel,6.27,1149,,10278,3707,13,"Comedy, Drama, Hentai"
196,Kidou Senkan Nadesico,7.49,21256,2073,3175,59020,499,"Comedy, Romance, Sci-Fi"
197,Kidou Senkan Nadesico: The Prince of Darkness,6.72,9096,5966,5576,18118,33,"Award Winning, Drama, Sci-Fi"
198,Kuro no Danshou,5.65,1057,,10615,3361,12,"Horror, Hentai"
199,Mezzo Forte,6.63,17391,,4071,37794,120,"Action, Comedy, Sci-Fi, Hentai"
200,Mezzo DSA,6.61,9546,6673,4803,26284,82,"Action, Adventure, Comedy, Mystery, Sci-Fi"
201,Dragon Ball,7.98,714504,723,150,1120157,17648,"Action, Adventure, Comedy, Fantasy"
202,Dragon Ball GT,6.52,446944,7226,356,669188,2268,"Action, Adventure, Comedy, Fantasy"
203,Elfen Lied,7.46,913167,2206,80,1595418,24896,"Action, Drama, Horror, Romance, Suspense"
204,FLCL,8.04,460758,635,232,882047,32617,"Avant Garde, Comedy, Sci-Fi, Suspense"
205,Jigoku Shoujo,7.6,138699,1649,697,380691,3345,"Horror, Mystery, Supernatural, Suspense"
206,Ninin ga Shinobuden,6.87,16853,5159,4087,37321,139,Comedy
207,Air Master,6.94,17096,4813,3816,43046,159,"Action, Comedy"
208,Asagiri no Miko,6.09,2900,9754,7405,8936,7,"Action, Comedy, Supernatural"
209,Cardcaptor Sakura,8.18,231514,438,529,478697,14566,"Adventure, Comedy, Drama, Romance"
210,Daa! Daa! Daa!,7.63,12480,1564,4715,27589,260,"Comedy, Sci-Fi"
211,Dan Doh!!,6.63,2110,6534,9230,5161,3,"Adventure, Sports"
212,Meitantei Conan,8.18,168084,448,709,372818,15828,"Adventure, Comedy, Mystery"
213,E's Otherwise,6.57,7417,6904,5646,17567,26,"Action, Adventure, Drama, Sci-Fi"
214,Koukyoushihen Eureka Seven,8.04,187590,642,560,455130,9296,"Adventure, Drama, Romance, Sci-Fi"
215,Rekka no Honoo,7.33,29506,2793,2862,71732,273,"Action, Adventure"
216,Gankutsuou,8.11,78307,542,1028,266751,4039,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense"
217,Genshiken,7.63,74025,1566,1423,189704,1532,Comedy
218,Girls Bravo: First Season,6.35,74864,8234,1654,158747,337,"Comedy, Fantasy, Romance, Ecchi"
219,Gokusen,7.42,23500,2386,3396,52682,279,"Action, Comedy"
220,Gravitation,6.89,66943,5047,1995,125088,1138,"Boys Love, Comedy"
221,Agatha Christie no Meitantei Poirot to Marple,6.87,2648,5147,7493,8700,26,Mystery
222,Great Teacher Onizuka,8.68,440953,73,219,901507,28280,Comedy
223,Groove Adventure Rave,7.2,42498,3501,2244,105701,383,"Action, Adventure, Comedy, Fantasy, Romance"
224,Harukanaru Toki no Naka de: Hachiyou Shou,6.99,8309,4590,4774,26767,117,"Fantasy, Romance"
225,Ichigo 100%,6.61,56390,6660,2062,119976,262,"Comedy, Romance, Ecchi"
226,InuYasha,7.87,410796,925,249,848648,19822,"Action, Adventure, Fantasy, Romance"
227,Konjiki no Gash Bell!!,7.55,63601,1824,1882,135718,1352,"Action, Adventure, Comedy, Supernatural"
228,Kyou kara Maou!,7.61,43633,1607,2039,121516,1392,"Adventure, Comedy, Fantasy"
229,Madlax,7.01,14607,4517,3690,45530,158,"Drama, Mystery, Supernatural"
230,Jungle wa Itsumo Hare nochi Guu,7.8,26717,1087,3515,49420,435,Comedy
231,Jungle wa Itsumo Hare nochi Guu Deluxe,7.78,7268,1136,6156,13997,23,Comedy
232,Jungle wa Itsumo Hare nochi Guu Final,7.6,5715,1651,6898,10616,14,"Award Winning, Comedy"
233,Hoshi no Koe,7.08,82911,4158,1621,163360,546,"Award Winning, Drama, Romance, Sci-Fi"
234,Ikkitousen,6.37,73370,8128,1542,174485,451,"Action, Ecchi"
235,Hitsuji no Uta,6.11,7237,9696,5416,19600,42,"Drama, Horror"
236,Happy☆Lesson,6.58,4847,6875,6433,12567,14,"Comedy, Romance"
237,Happy☆Lesson (TV),6.6,12749,6712,4493,30570,38,"Comedy, Drama, Romance"
238,Happy☆Lesson Advance,6.76,6952,5739,5793,16357,8,"Comedy, Romance"
239,Happy☆Lesson The Final,6.76,4693,5775,6966,10432,7,"Comedy, Romance"
240,Hajime no Ippo,8.78,332616,39,350,674310,24638,Sports
241,Hajime no Ippo: Champion Road,8.25,92940,350,1690,153940,276,Sports
242,Hajime no Ippo: Mashiba vs. Kimura,8.25,76347,351,1998,124863,227,Sports
243,Gunparade March: Arata Naru Kougunka,6.69,6698,6154,5544,18415,25,"Drama, Romance, Sci-Fi"
244,Gungrave,7.81,84640,1063,1267,215568,2518,"Action, Drama, Sci-Fi"
245,Golden Boy,8.04,240770,637,573,448991,6611,"Adventure, Comedy, Ecchi"
246,Bleach,7.98,1232675,723,35,2155144,81520,"Action, Adventure, Supernatural"
247,Hellsing,7.5,390882,2044,288,778806,6513,"Action, Horror, Supernatural"
248,Gad Guard,6.63,5259,6523,5909,15606,29,"Adventure, Sci-Fi"
249,Noir,7.27,41708,3082,2032,121914,899,"Action, Drama, Mystery"
250,Mahoutsukai ni Taisetsu na Koto,6.68,7878,6203,4580,29407,34,"Fantasy, Slice of Life"
251,Kiddy Grade,7.16,19894,3732,3528,49049,253,Sci-Fi
252,Love♥Love?,5.83,10137,11192,5037,23439,13,"Comedy, Romance, Ecchi"
253,Mahoromatic: Automatic Maiden,7.13,27921,3875,2930,68994,219,"Comedy, Romance, Sci-Fi, Ecchi"
254,Mahoromatic: Motto Utsukushii Mono,7.12,17390,3932,4224,35042,50,"Comedy, Drama, Romance, Sci-Fi, Ecchi"
255,Viewtiful Joe,6.76,5858,5752,6321,13081,28,"Action, Comedy, Sci-Fi"
256,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.06,10800,4237,3805,43272,146,"Horror, Mystery, Supernatural"
257,Animal Yokochou,7.02,1426,4429,10115,3940,15,"Adventure, Comedy, Fantasy"
258,Akane Maniax,5.72,9810,11744,5405,19776,10,"Comedy, Romance"
259,Angel Heart,7.24,6114,3277,5376,20050,93,"Action, Drama, Mystery, Romance"
260,Akage no Anne,7.86,22998,952,3438,51541,964,Drama
261,Area 88 (TV),6.98,6045,4616,5855,15902,66,"Action, Drama, Romance"
262,Argento Soma,6.74,7985,5844,4514,30363,91,"Adventure, Drama, Sci-Fi"
263,B'T X,7.01,5865,4494,6274,13327,38,"Adventure, Sci-Fi"
264,Grappler Baki (TV),7.45,83481,2235,1628,162340,896,Sports
265,Bakuten Shoot Beyblade,6.8,75737,5532,2050,120916,427,"Adventure, Comedy, Sports"
266,Comic Party,6.56,8732,6960,5185,21874,40,"Comedy, Drama"
267,Seikai no Monshou,7.62,19488,1591,3243,56981,479,"Action, Romance, Sci-Fi"
268,D.C.S.S: Da Capo Second Season,6.92,16402,4897,4217,35170,35,"Comedy, Drama, Romance, Supernatural"
269,Dear Boys,6.76,10732,5727,5033,23454,52,"Drama, Sports"
270,Di Gi Charat,6.83,12360,5394,4630,28680,261,"Comedy, Fantasy, Sci-Fi"
271,Divergence Eve,5.89,4882,10875,5985,14992,15,"Adventure, Drama, Sci-Fi"
272,Divergence Eve 2: Misaki Chronicles,6.27,3159,8727,7502,8677,12,"Adventure, Drama, Sci-Fi"
273,Dragon Drive,6.68,10209,6230,4929,24766,56,"Action, Adventure, Fantasy, Sci-Fi"
274,Grenadier: Hohoemi no Senshi,6.67,26331,6321,3177,58995,82,"Action, Adventure, Comedy, Ecchi"
275,.hack//Tasogare no Udewa Densetsu,6.55,36270,7030,2886,70812,140,"Adventure, Comedy, Fantasy"
276,.hack//Liminality,6.58,17160,6861,4221,35096,36,Mystery
277,3x3 Eyes,6.7,13160,6070,4458,31015,104,"Action, Horror, Romance, Supernatural"
278,Cinderella Boy,6.31,3116,8508,7487,8709,10,"Action, Adventure, Comedy, Mystery"
279,Mirai Shounen Conan,8.09,18759,577,3246,56864,651,"Adventure, Drama, Sci-Fi"
280,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.87,10594,5146,5031,23466,27,"Comedy, Supernatural"
281,Aa! Megami-sama! Movie,7.53,23618,1906,3715,45024,101,"Comedy, Romance, Supernatural"
282,Abashiri Ikka,5.27,1954,13320,9072,5380,9,"Action, Comedy, Ecchi"
283,Abenobashi Mahou☆Shoutengai,7.21,36304,3407,2376,97041,386,"Award Winning, Comedy, Fantasy, Ecchi"
284,Kerokko Demetan,6.05,939,10039,12429,1998,4,"Comedy, Fantasy"
285,Zettai Shounen,6.86,4465,5193,5152,22233,75,"Drama, Fantasy, Mystery, Sci-Fi"
